Summary by Sample
Dataset Name:, C:\Elandata\DataSet\1404-06-04
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,-18.,,,cps,-8.9e-005,,,ppm
Bi209,-10.3,,,cps,-6.48e-006,,,ppm
Cd111,-16.8,,,cps,-4.21e-005,,,ppm
Cs133,3.16,,,cps,6.84e-007,,,ppm
Co59,-17.9,,,cps,-8.31e-006,,,ppm
Pb208,-1.04e+003,,,cps,-5.89e-004,,,ppm
Rb85,-9.26e-006,,,cps,-3.5e-012,,,ppm
Se82,87.8,,,cps,2.58e-003,,,ppm
Ag107,-432,,,cps,-2.57e-004,,,ppm
Te130,3.74,,,cps,1.23e-005,,,ppm
Ta181,-9.62,,,cps,-2.64e-006,,,ppm
Tl205,-5.26,,,cps,-2.14e-006,,,ppm
Ge74,-5.9,,,cps,-9.08e-006,,,ppm
Hf180,5.26,,,cps,2.93e-006,,,ppm
Mo98,-6.19,,,cps,-7.64e-006,,,ppm
Nb93,7.37,,,cps,2.67e-006,,,ppm
Sb121,-35.8,,,cps,-3.12e-005,,,ppm
Sn118,-13.7,,,cps,-1.26e-005,,,ppm
W184,-5.26,,,cps,-4.4e-006,,,ppm
Zr90,-30.6,,,cps,-1.79e-005,,,ppm
As75,-146,,,cps,-6.11e-004,,,ppm
V51,58.4,,,cps,4.5e-005,,,ppm
Cr52,-1.87e+003,,,cps,-1.23e-003,,,ppm
Ni60,-90.5,,,cps,-1.93e-004,,,ppm
Cu63,-682,,,cps,-6.3e-004,,,ppm
Zn66,-1.56e+003,,,cps,-4.61e-003,,,ppm
Th232,6.32,,,cps,1.89e-006,,,ppm
Sc45,-2.42e+003,,,cps,-2.06e-003,,,ppm
Y89,3.16,,,cps,7.95e-007,,,ppm
La139,2.11,,,cps,4.46e-007,,,ppm
Ce140,-4.89,,,cps,-1.16e-006,,,ppm
Pr141,3.51,,,cps,6.68e-007,,,ppm
Nd142,-4.49,,,cps,-3.17e-006,,,ppm
Sm152,2.04,,,cps,1.34e-006,,,ppm
Eu153,3.59,,,cps,1.2e-006,,,ppm
Gd158,1.01,,,cps,7.01e-007,,,ppm
Tb159,0.591,,,cps,1.02e-007,,,ppm
Dy164,0.22,,,cps,1.34e-007,,,ppm
Ho165,-1.61,,,cps,-2.68e-007,,,ppm
Er166,5.1,,,cps,2.56e-006,,,ppm
Tm169,-4.21,,,cps,-6.98e-007,,,ppm
Yb174,2.12,,,cps,1.1e-006,,,ppm
Lu175,5.69,,,cps,1.06e-006,,,ppm
U238,-8.88e-016,,,cps,-2.6e-022,,,ppm
Ga69,-23.2,,,cps,-1.35e-005,,,ppm
Sample ID:,BLANK b
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,3.,,,cps,3.71e-003,,,ppm
Bi209,2.24e+003,,,cps,0.351,,,ppm
Cd111,41.1,,,cps,2.57e-002,,,ppm
Cs133,57.9,,,cps,3.13e-003,,,ppm
Co59,984,,,cps,0.114,,,ppm
Pb208,3.95e+004,,,cps,5.6,,,ppm
Rb85,281,,,cps,2.66e-002,,,ppm
Se82,222,,,cps,1.63,,,ppm
Ag107,8.21e+004,,,cps,12.3,,,ppm
Te130,960,,,cps,0.791,,,ppm
Ta181,794,,,cps,5.45e-002,,,ppm
Tl205,53.7,,,cps,5.46e-003,,,ppm
Ge74,-762,,,cps,-0.293,,,ppm
Hf180,853,,,cps,0.119,,,ppm
Mo98,1.28e+003,,,cps,0.396,,,ppm
Nb93,7.63e+003,,,cps,0.69,,,ppm
Sb121,131,,,cps,2.84e-002,,,ppm
Sn118,4.29e+003,,,cps,0.985,,,ppm
W184,3.54e+003,,,cps,0.738,,,ppm
Zr90,1.26e+003,,,cps,0.184,,,ppm
As75,3.76e+004,,,cps,39.3,,,ppm
V51,-3.64e+004,,,cps,-7.01,,,ppm
Cr52,4.54e+004,,,cps,7.44,,,ppm
Ni60,7.26e+003,,,cps,3.87,,,ppm
Cu63,7.57e+003,,,cps,1.75,,,ppm
Zn66,9.65e+003,,,cps,7.11,,,ppm
Th232,3.78e+004,,,cps,2.83,,,ppm
Sc45,3.52e+003,,,cps,0.747,,,ppm
Y89,1.26e+003,,,cps,7.91e-002,,,ppm
La139,2.59e+003,,,cps,0.137,,,ppm
Ce140,3.77e+003,,,cps,0.224,,,ppm
Pr141,1.91e+003,,,cps,9.09e-002,,,ppm
Nd142,672,,,cps,0.119,,,ppm
Sm152,573,,,cps,9.44e-002,,,ppm
Eu153,920,,,cps,7.68e-002,,,ppm
Gd158,472,,,cps,8.19e-002,,,ppm
Tb159,1.6e+003,,,cps,6.89e-002,,,ppm
Dy164,449,,,cps,6.85e-002,,,ppm
Ho165,1.45e+003,,,cps,6.01e-002,,,ppm
Er166,460,,,cps,5.76e-002,,,ppm
Tm169,1.45e+003,,,cps,6.02e-002,,,ppm
Yb174,467,,,cps,6.05e-002,,,ppm
Lu175,1.16e+003,,,cps,5.41e-002,,,ppm
U238,4.74e+003,,,cps,0.347,,,ppm
Ga69,762,,,cps,0.111,,,ppm
Sample ID:,258 b
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,1.04e+003,,,cps,1.25,,,ppm
Bi209,5.59e+004,,,cps,8.53,,,ppm
Cd111,297,,,cps,0.181,,,ppm
Cs133,6.7e+004,,,cps,3.54,,,ppm
Co59,1.7e+005,,,cps,19.2,,,ppm
Pb208,2.34e+005,,,cps,32.4,,,ppm
Rb85,7.4e+005,,,cps,68.2,,,ppm
Se82,-68.7,,,cps,-0.493,,,ppm
Ag107,1.16e+005,,,cps,16.8,,,ppm
Te130,-236,,,cps,-0.189,,,ppm
Ta181,2.33e+004,,,cps,1.56,,,ppm
Tl205,4.87e+003,,,cps,0.484,,,ppm
Ge74,3.4e+003,,,cps,1.28,,,ppm
