Summary by Sample
Dataset Name:, C:\Elandata\Dataset\1403-11-29
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,BLANK FX
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,-3.,,,cps,-7.9e-003,,,ppm
Bi209,1.e+003,,,cps,0.272,,,ppm
Cd111,10.5,,,cps,1.45e-002,,,ppm
Cs133,132,,,cps,2.43e-002,,,ppm
Co59,1.43e+003,,,cps,0.336,,,ppm
Pb208,5.46e+005,,,cps,183,,,ppm
Rb85,3.27e+003,,,cps,0.944,,,ppm
Se82,9.47,,,cps,0.211,,,ppm
Ag107,5.29e+003,,,cps,2.43,,,ppm
Te130,38.3,,,cps,0.238,,,ppm
Ta181,86.2,,,cps,6.75e-003,,,ppm
Tl205,1.1e+003,,,cps,0.227,,,ppm
Ge74,-35.5,,,cps,-3.93e-002,,,ppm
Hf180,40.,,,cps,2.88e-002,,,ppm
Mo98,1.56e+003,,,cps,1.45,,,ppm
Nb93,721,,,cps,8.21e-002,,,ppm
Sb121,112,,,cps,9.78e-002,,,ppm
Sn118,3.04e+003,,,cps,0.91,,,ppm
W184,258,,,cps,0.264,,,ppm
Zr90,1.3e+003,,,cps,0.54,,,ppm
As75,2.26e+004,,,cps,67.7,,,ppm
V51,-3.68e+004,,,cps,-19.7,,,ppm
Cr52,8.52e+004,,,cps,39.3,,,ppm
Ni60,1.16e+004,,,cps,16.4,,,ppm
Cu63,5.81e+003,,,cps,3.72,,,ppm
Zn66,1.17e+004,,,cps,28.8,,,ppm
Th232,962,,,cps,0.276,,,ppm
Sc45,264,,,cps,7.32e-002,,,ppm
Y89,642,,,cps,0.15,,,ppm
La139,9.75e+003,,,cps,2.32,,,ppm
Ce140,1.95e+004,,,cps,5.34,,,ppm
Pr141,2.57e+003,,,cps,0.596,,,ppm
Nd142,2.59e+003,,,cps,2.2,,,ppm
Sm152,501,,,cps,0.403,,,ppm
Eu153,200,,,cps,8.54e-002,,,ppm
Gd158,622,,,cps,0.537,,,ppm
Tb159,212,,,cps,4.82e-002,,,ppm
Dy164,100,,,cps,8.33e-002,,,ppm
Ho165,105,,,cps,2.48e-002,,,ppm
Er166,103,,,cps,7.09e-002,,,ppm
Tm169,77.9,,,cps,1.78e-002,,,ppm
Yb174,42.,,,cps,2.86e-002,,,ppm
Lu175,64.3,,,cps,1.64e-002,,,ppm
U238,32.6,,,cps,9.15e-003,,,ppm
Ga69,4.71e+003,,,cps,1.1,,,ppm
Sample ID:,258 X
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,522,,,cps,1.35,,,ppm
Bi209,1.18e+004,,,cps,3.15,,,ppm
Cd111,101,,,cps,0.136,,,ppm
Cs133,1.57e+004,,,cps,2.85,,,ppm
Co59,8.01e+004,,,cps,18.5,,,ppm
Pb208,7.39e+005,,,cps,243,,,ppm
Rb85,2.12e+005,,,cps,59.9,,,ppm
Se82,-9.24,,,cps,-0.202,,,ppm
Ag107,1.21e+004,,,cps,5.46,,,ppm
Te130,-69.2,,,cps,-0.422,,,ppm
Ta181,3.63e+003,,,cps,0.278,,,ppm
