,CRM ID,Ag,Al,Al2O3,As,Au,B,Ba,BaO,Be,BeO,Bi,C,C-(Carbonate),C-(Graphite),Ca,CaO,Cd,Ce,CeO2,Cl,Co,Cr,Cr2O3,Cs,Cu,Cu-Res(4A),Cu-Sol(CN),Cu-Sol(H2SO4),Cu-Tot(Calc),Dy,Dy2O3,Er,Er2O3,Eu,Eu2O3,F,Fe,Fe(Calc),Fe2+,Fe2O3,Fe3+,Fe3O4,FeO,Ga,Ga2O3,Gd,Gd2O3,Ge,H2O-,Hf,HfO2,Hg,Ho,Ho2O3,In,Ir,K,K2O,LOI1000,LOI300-1000,LOI371,LOI425,LOI650,La,La2O3,Li,Li2O,Lu,Lu2O3,MOI300,MassRec,Mg,MgO,Mn,MnO,Mo,Na,Na2O,Nb,Nb2O5,Nd,Nd2O3,Ni,NiO,Os,P,P2O5,Pb,PbO,Pd,Pr,Pr6O11,Pt,Rb,Re,Rh,Ru,S,S-(Sulphate),S-(Sulphide),SG,SO3,Sb,Sc,Se,Si,SiO2,Sm,Sm2O3,Sn,SnO2,Sr,SrO,Ta,Ta2O5,Tb,Tb4O7,Te,Th,ThO2,Ti,TiO2,Tl,Tm,Tm2O3,U,U3O8,V,V2O5,W,WO3,Y,Y2O3,Yb,Yb2O3,Zn,ZnO,Zr,ZrO2
0,AC18.10657,,,142316.0,0.495,,49.5,260.997,,1.27277,,1.98,,,,,84159.0,9.9,36.7345,,,46.0572,,368.625,0.817077,51.5305,,,,,4.41928,,2.25006,,1.6553,,,,,,113370.0,,,,19.591,,5.25668,,1.2934,,,,,0.832746,,0.198,,,9014.33,,,,,,18.285,,,,0.244766,,,,,71974.4,,1447.35,4.95,,30843.3,20.5868,,20.3479,,145.951,,,,3322.66,,,,4.54723,,,22.5368,,,,142.063,,,,,0.099,19.3592,,,510482.0,5.02656,,,,398.871,,1.24172,,0.775,,0.99,2.92663,,,18044.6,0.495,0.296667,,0.738875,,164.014,,4.95,,21.6675,,1.7587,,109.88,,138.219,
1,AC18.10658,,,130164.0,4.95,,49.5,75.3438,,4.95,,1.98,,,,,105960.0,9.9,10.6074,,,47.7109,,160.617,,164.147,,,,,4.25309,,2.72728,,0.919884,,,,,,131417.0,,,,16.0918,,3.65241,,1.12365,,,,,0.887344,,0.198,,,1153.04,47577.8,,,,,4.34139,,9.71728,,0.403623,,,,,66855.8,,2084.85,0.99,,26395.2,3.41353,,8.61444,,63.8083,,,,1222.0,,,,1.62096,,,,,,,1967.99,,,,,1.98,41.2221,,,471939.0,2.72937,,,,126.126,,4.95,,0.623667,,0.99,0.459332,,,12046.2,0.495,0.38266,,4.95,,338.069,,4.95,,23.4976,,2.56728,,97.2007,,71.8117,
2,AC18.10659,,,166466.0,4.95,,49.5,559.767,,1.90238,,0.099,,,,,93249.4,9.9,50.9749,,,33.8459,,152.59,5.36868,64.069,,,,,4.23599,,2.30137,,1.68081,,,,,,103976.0,,,,20.527,,5.26368,,1.66295,,,,,0.796858,,0.198,,,20724.7,,,,,,24.6313,,15.9172,,0.309409,,,,,50986.8,,1655.99,4.95,,25846.7,7.54987,,28.0001,,45.4487,,,,4213.48,,,,6.55797,,,102.384,,,,,,,,,0.099,24.9814,,,516799.0,5.90427,,2.2322,,577.552,,4.95,,0.704,,0.99,8.21796,,,12679.1,0.495,0.315905,,1.80223,,285.656,,4.95,,22.0328,,2.10682,,96.4761,,94.4754,
3,AC18.10660,,,113681.0,20.3334,,184.118,345.435,,2.08619,,1.0168,,,,,61274.2,9.9,62.3084,,,13.4373,,94.6692,6.94152,29.1472,,,,,4.95937,,2.83346,,1.16011,,,,,,54839.4,,,,15.7656,,5.57406,,1.80039,,,,,0.954143,,0.198,,,28491.1,105422.0,,,,,32.51,,58.2096,,0.37275,,,,,59414.6,,931.386,0.99,,13171.6,10.8257,,29.3474,,23.8864,,,,1995.49,,,,7.6481,,,129.756,,,,405.836,,,,,1.98,11.596,,,554594.0,5.9369,,3.88363,,121.945,,4.95,,0.805333,,0.99,13.4404,,,8292.5,0.512824,0.405581,,2.4143,,89.1225,,19.8,,26.6669,,2.63838,,76.8661,,196.997,
4,AC18.10661,,,167018.0,4.95,,49.5,291.901,,0.978537,,1.98,,,,,56166.8,9.9,32.7786,,,18.5679,,96.781,0.833107,47.9028,,,,,3.47164,,1.98648,,1.11087,,,,,,61419.8,,,,18.0979,,3.91527,,1.02133,,,,,0.655667,,0.198,,,7631.7,49017.8,,,,,15.2848,,15.9041,,0.28464,,,,,32658.4,,884.67,4.95,,42710.3,3.70518,,18.9081,,31.2601,,,,2330.39,,,,4.27196,,,17.4345,,,,,,,,,1.98,15.5311,,,576651.0,4.05993,,,,633.686,,4.95,,0.559733,,0.99,1.81279,,,7130.97,0.495,0.271884,,0.525268,,129.992,,4.95,,18.3007,,1.84803,,79.3092,,126.564,
5,AC18.10662,,,146523.0,7.5875,,24.4444,1035.85,,2.41665,,0.930401,,,,,25145.5,9.9,82.4716,,,9.66623,,84.6666,12.0269,24.92,,,,,6.39955,,3.26444,,1.50099,,,,,,46537.2,,,,20.3256,,7.56195,,1.68009,,6.98841,,,1.16816,,0.198,,,35238.4,11886.7,,,,,41.944,,54.7256,,0.402674,,,,,14096.7,,513.944,4.95,,26575.7,11.8041,,38.4082,,,,,,2033.02,30.8633,,,9.91219,,,174.764,,,,972.354,,,,,1.98,8.372,,,677470.0,8.05296,,4.92812,,157.872,,4.95,,1.1007,,0.99,16.3024,,,6607.18,0.977369,0.445998,,4.8534,,64.766,,13.4555,,32.3943,,2.81935,,89.2073,,244.316,
6,AC18.10663,,,162432.0,501.354,,1521.5,707.281,,3.32913,,22.5235,,,,,701.387,9.9,102.178,,,2.07521,,173.212,11.8114,32.5457,,,,,5.86532,,3.39524,,1.40535,,,,,,41275.0,,,,21.7834,,6.43853,,2.03657,,,,,1.17858,,0.198,,,31738.4,38289.4,,,,,52.0238,,48.1423,,0.466705,,,,,6693.23,,42.2842,4.95,,2268.09,16.4382,,41.9242,,,,,,782.956,22.5833,,,11.5727,,,150.196,,,,,,,,,6.19058,15.8157,,,699879.0,7.42737,,19.4762,,77.9847,,1.34717,,0.958217,,0.99,18.3521,,,8216.88,0.830808,0.507184,,3.43703,,113.521,,93.4054,,31.4419,,3.23262,,41.7167,,238.14,
7,AC18.10664,,74609.4,,,,,34.6154,,,,,213878.0,,,6639.11,,,7.51305,,283.41,60935.6,128.555,,,23358.3,,,,,0.547877,,,,,,24353.1,11133.0,,,,,,,11.6418,,0.637127,,,,,,,,,,,804.744,,,,,,,45.6502,,41296.8,,,,,,5255.6,,53533.1,,2.94178,2709.93,,,,,,231094.0,,,3501.66,,,,,1.37889,,,,,,,3753.07,,,,,,,,28499.1,,,,66.2352,,38.2089,,,,0.117312,,,,,1334.8,,,0.0495,,,,25.6227,,,,17.6113,,,,50.5492,,2476.33,
8,AC18.10665,,45654.1,,15.9202,,,15.1257,,,,,542148.0,,,2418.98,,2.31311,1.65793,,239.583,29731.3,23.369,,,5644.84,,,,,0.173657,,,,,,14293.6,8735.28,,,,,,,,,,,,,,,,,,0.179234,,397.506,,,,,,,1.13135,,18059.4,,,,,,1069.59,,28364.0,,1.21149,2904.0,,,,,,91936.9,,,1445.8,,,,,0.21299,,,,,,,5523.67,,,,,,,,7553.98,,,,1.16954,,15.6903,,,,0.0495,,,,,282.19,,,0.0495,,,,7.80025,,98.3143,,3.01244,,,,759.497,,1138.99,
9,AC18.13566,,189697.0,,,,,7852.32,,,,,,,,3583.1,,,31176.6,,,,1311.98,,,,,,,,,,,,0.561831,,,15921.5,,,,,,,,,,,,,,,,0.248949,,,,,,,,,,,5213.27,,,,0.109122,,,,50656.0,,,,,,,,,3556.51,,3582.89,,,3517.54,,,,2034.64,1491.92,,511.643,,,238.943,,1813.01,,,,,,,,175932.0,,15.3733,,,,1878.27,,,,,,,6.17799,,,,,0.187343,,,,59.5163,,38.0085,,583.695,,1.06582,,1970.57,,34230.8,
